Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
Albert Heijn,Albert Heijn,Cold,"",26000,retail,"",http://www.ah.nl,http://www.linkedin.com/company/albert-heijn,https://facebook.com/albertheijn,https://twitter.com/albertheijn,"",Amsterdam,North Holland,Netherlands,"","Amsterdam, North Holland, Netherlands","",'+31 88 659 9111,"","Akamai, Akamai DNS, Rackspace MailGun, Sendgrid, Outlook, Microsoft Office 365, Backbone JS Library, Amazon SES, Atlassian Cloud, React Redux, Mapbox, Adobe Marketing Cloud, MongoDB, DoubleClick Conversion, Content.ad, Google Tag Manager, Vimeo, Google Play, Facebook Widget, Google Maps, Linkedin Marketing Solutions, Django, reCAPTCHA, Google Places, Google Font API, Sizmek (MediaMind), Google Maps (Non Paid Users), Google Dynamic Remarketing, Twitter Advertising, Google AdWords Conversion, Google AdSense, Linkedin Widget, Facebook Login (Connect), DoubleClick Floodlight, Adobe Media Optimizer, Bing Ads, Cedexis Radar, Mobile Friendly, Facebook Custom Audiences, DoubleClick, AI","","","","",3200000000,"",66c033565d844101b3b7a5b8,5311,"Bij Albert Heijn geloven we dat eten en drinken een essentiële rol speelt bij de grote uitdagingen in de maatschappij. Het levert een belangrijke bijdrage aan een gezonde levensstijl, het verbindt mensen en draagt bij aan een beter klimaat en daarmee een duurzame samenleving. Onze missie is dan ook: ‘Samen beter eten bereikbaar maken. Voor iedereen.'' 

Elke dag zit boordevol keuzes en met alle mogelijkheden van tegenwoordig is kiezen niet altijd makkelijk. Daarbij snapt Albert Heijn dat beter eten voor iedereen anders is, maar uiteindelijk willen we allemaal hetzelfde: ons goed voelen en lekker in ons vel zitten. Dit kunnen we realiseren door gezonder te eten. Door te weten waar ons voedsel vandaan komt en er samen van te genieten. Door een bijdrage te leveren aan het beter achterlaten van de wereld voor de generaties na ons. Dat gaat niet vanzelf. Daarom nemen we iedereen stap voor stap mee op weg naar beter eten. 

Ook zet Albert Heijn de stap richting B Corp certificering. Deze wordt toegekend aan bedrijven die voldoen aan hoge normen op het gebied van maatschappelijk verantwoord ondernemen. De B Corp certificering sluit naadloos aan bij de beweging die Albert Heijn maakt richting een gezonde, sociale en duurzame samenleving.

Overal en op elk moment zijn wij de vertrouwde en inspirerende partner van onze klanten, al meer dan 135 jaar. Met meer dan 1.250 winkels, 8 home shop centers, 6 distributiecentra en met 125.000 collega's dragen we samen bij aan onze missie. 

Wil je weten wat de carrière mogelijkheden zijn? Ga naar werk.ah.nl. 
Meer weten over wat wij nog meer doen? Ga naar ah.nl/over-ah.",1887,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67404807c65fe00001ef0e65/picture
Blue Harvest,Blue Harvest,Cold,"",85,information technology & services,info@data2bots.com,http://www.blueharvest.io,http://www.linkedin.com/company/blueharvest-io,"","",1 Reykjavikplein,Utrecht,Utrecht,Netherlands,3543 KA,"1 Reykjavikplein, Utrecht, Utrecht, Netherlands, 3543 KA","software engineering, devops, personal development, solution architecture, cloud, consultancy, microservices","",Blue Harvest is a proven leader in providing IT engineering solutions and consultancy. We harness the power of technology to increase business value.,"Amazon CloudFront, Route 53, Microsoft Office 365, Amazon AWS, Google Tag Manager, YouTube, Google Font API, Mobile Friendly, Multilingual, , Docker, Scala, Azure Devops, Remote","","","","","","",67443ef8d8b9af02ce03dab5,"","Blue Harvest is a rapidly growing software engineering division in the Netherlands, Belgium, Sweden, Germany, and France within Capgemini Financial Services Unit, strives to provide first-rate polyglot software engineers with excellent technical knowledge and high emotional intelligence. This helps maximize value to our customers in the financial services sector and beyond. 

To bring further value, we build reusable accelerators, develop innovative blueprints, and explore alternative business models.

How do we do all this? It's simple - we value people and their growth. We've built a culture with a high bar of engineering and emotional intelligence standards, populated our family with diverse, talented, fun people from all over the globe, and continue to drive their self-development every week with our Blue Harvest Friday model. Development paths are self-determined within a mentor-led environment to support and guide these growth opportunities.

This approach helps us gain, train, and retain the world's best software, cloud, DevOps, data, and API experts.",2017,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6743e61adadbee000119f611/picture
ING Bank N.V.,ING Bank N.V,Cold,"",67000,banking,info@data2bots.com,http://www.ing.com,http://www.linkedin.com/company/ing,https://facebook.com/ING,https://twitter.com/ing_news,"","","","","","","banking, personal banking, wholesale banking, fintech, retail banking, online banking, private banking, mobile banking, mobile payments, innovation, agile, blockchain, sustainability",'+31 20 576 6369,"","Akamai, Akamai DNS, Outlook, VueJS, Google Tag Manager, Apache, Vimeo, Adobe Media Optimizer, Stripe, Google Play, Cedexis Radar, Disqus, Mobile Friendly, LiveRamp, Twitter Advertising, Google Analytics, Bootstrap Framework, Shutterstock, Blueconic, Google Font API, WordPress.org, YouTube, AI","",Other,"",1997-06-01,24300000000,"",66f17b2dc775dd00011322df,"6199, 6411, 6199","ING is a pioneer in digital banking and on the forefront as one of the most innovative banks in the world. As ING, we have a clear purpose that represents our conviction of people's potential. We don't judge, coach, or tell people how to live their lives. However big or small, modest or grand, we empower people and businesses to realise their vision for a better future. We made the promise to make banking frictionless, removing barriers to progress, and make people confident in their financial decisions. As a global bank we have a huge opportunity – and responsibility – to make an impact for the better. We can play a role by financing change, sharing knowledge, and innovating. Being sustainable is in all the choices we make—as a lender, as a partner and through the services we offer our customers",1991,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/673ac8761d26f5000126584c/picture
VARRLYN,VARRLYN,Cold,"",19,financial services,info@data2bots.com,http://www.varrlyn.com,http://www.linkedin.com/company/varrlyn,https://www.facebook.com/profile.php,https://twitter.com/varrlyn,Hullenbergweg,Amsterdam,North Holland,Netherlands,"","Hullenbergweg, Amsterdam, North Holland, Netherlands","capital markets, trading systems, risk, murex, calypso, opics, finance, sustainability, dealing room, consulting, it, asset management, digital services",'+31 6 10966914,"","Outlook, Active Campaign, Mobile Friendly, Gravity Forms, WordPress.org, reCAPTCHA, Nginx, Google Tag Manager, Basis, AI","","","","","","",67443ef8d8b9af02ce03dab3,"","Varrlyn is a consultancy firm established in 2010 and based in Amsterdam, The Netherlands. 

Having worked all over the world, we now pour our global experience into the Dutch market.

At Varrlyn, we are trained to think ahead. With advanced digital tools, we enjoy turning any obstacle into a chance to thrive. It's all about thinking in terms of opportunities, together.

A positive mindset - that's what got us this far. Thinking of doing something deemed impossible? Once you realize nothing is impossible, you are free to dream. We'll help you plan and thrive. Because at Varrlyn we believe that if something is achievable, we can - and will - achieve it together.

Get ready to improve your cost efficiency, simplify your application architecture, optimize the time to market, increase straight-through processing – whilst meeting all regulatory requirements. You do the deal, we do the project.

At Varrlyn, we take processes apart. We clarify, design and implement the most intricate financial IT projects; as a complete custom-designed package, or in parts. If the tangle turns out too wild to tame, we ""simply"" build a new IT landscape from scratch.

Get to know our four Valuestreams.

-Dealing room & Sustainability services
We'll unburden you by taking care of your entire trade lifecycle. Get ready a for positive, sustainable change!

- Asset management
Step up your game as a data-driven organization: digitise your processes without losing sight of the legal picture.

- Finance & Risk
Get a grip on the rapid changes and the unpredictable influences that keep hitting the financial services sector.

- Digital services
Our triple engine - dealing room & sustainability services, asset management, and finance & risk - is powered by our love for data and technology.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6733eb084b8545000182750d/picture
Capgemini,Capgemini,Cold,new jobs,299000,information technology & services,omesiri.kabaide@data2bots.com,http://www.capgemini.com,http://www.linkedin.com/company/capgemini,https://www.facebook.com/Capgemini/,https://twitter.com/Capgemini,9 Place Charles de Gaulle,Paris,Ile-de-France,France,75116,"9 Place Charles de Gaulle, Paris, Ile-de-France, France, 75116","outsourcing, process consulting, package based solutions, custom solution development, application management, artificial intelligence, business consulting, cloud, digital, managed services, digital transformation, innovation, intelligent industry, sustainable it, generative ai",'+33 1 47 54 50 00,"A global leader in consulting, technology services and digital transformation, we offer an array of integrated services combining technology with deep sector expertise.","Amazon CloudFront, NSOne, Route 53, Amazon AWS, Bootstrap Framework, Multilingual, Vimeo, Google AdSense, Facebook Custom Audiences, dynaTrace, UltiPro, Stripe, Linkedin Widget, Google Font API, Google AdWords Conversion, Adobe Media Optimizer, Disqus, Twitter Advertising, Shutterstock, ON24, Google translate API, JobAdder, Drupal, Linkedin Marketing Solutions, Taboola, AdRoll, Google Analytics, DoubleClick Conversion, React, Linkedin Login, Google Analytics Ecommerce Tracking, Google Maps, Cloudinary, JQuery 1.11.1, DoubleClick Floodlight, Parse.ly, Google Maps (Non Paid Users), WordPress.org, Google Tag Manager, Facebook Widget, Yahoo Ad Manager Plus, Nginx, Ruxit, SoundCloud, The Trade Desk, Cedexis Radar, YouTube, AngularJS, JW Player, Cvent, reCAPTCHA, 33Across, Google Play, Taleo, Mobile Friendly, GoToWebinar, Unreal Engine, Salesforce, New Relic, MailChimp, Google translate widget, Google Dynamic Remarketing, ShareThis, Eventbrite, Hotjar, DoubleClick, Pardot, Facebook Login (Connect)",24406812,Other,24406812,2000-06-01,22522000000,"",652430d1b488450001ecba52,"7371, 7371","Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of €22.5 billion.

Get The Future You Want | www.capgemini.com",1967,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67371762d8ab810001933ce1/picture
Harnham,Harnham,Cold,"",210,staffing & recruiting,anthony.alebiosu@data2bots.com,http://www.harnham.com,http://www.linkedin.com/company/harnham,https://facebook.com/pages/Harnham-Search-Selection/150583495034113,https://twitter.com/harnhamdata,131 The Broadway,London,England,United Kingdom,SW19 1QJ,"131 The Broadway, London, England, United Kingdom, SW19 1QJ","data, analytics, marketing analysis, sql, business intelligence, credit risk, data management, big data, customer insight, computer vision, data science, data governance, data engineering, python, web analytics, programmatic, fraud analytics, risk analytics, software engineering, artificial intelligence",'+44 5723485,"Harnham provides data recruitment, staffing and talent development services within Data Science, Advance Analytics, AI & NLP.","Mailchimp Mandrill, Outlook, Helpscout, CloudFlare Hosting, Bluekai, Digital Ocean Spaces, Dropbox, Gravity Forms, WordPress.org, Hotjar, Google Font API, Linkedin Widget, Vimeo, Adobe Media Optimizer, Disqus, Linkedin Marketing Solutions, Linkedin Login, Google Tag Manager, Cedexis Radar, Mobile Friendly, Data Analytics, , Basis, Python, Remote, Bullhorn, SharePoint, Circle, AI, Tableau","","","","",4587000,"",65253c03b7e0ec00a3935320,7372,"Harnham is an online recruitment platform that allows job seekers to discover career opportunities in marketing, data and analytics sectors.",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672e14a2121fab0001b4e149/picture
HEMA,HEMA,Cold,"",6500,retail,"",http://www.hema.com,http://www.linkedin.com/company/hema,https://facebook.com/hema,https://twitter.com/hema,"","",North Holland,Netherlands,"","North Holland, Netherlands","",'+31 50 308 0638,null,"CloudFlare CDN, MailJet, Outlook, Microsoft Office 365, CloudFlare Hosting, Amazon CloudFront, Route 53, Amazon Elastic Load Balancer, Amazon AWS, Sendgrid, Demandware, VueJS, Salesforce Commerce Cloud, Atlassian Cloud, AWS SDK for JavaScript, Salesforce, Amazon SES, Demandware Analytics, Datadog, Google Font API, Facebook Login (Connect), Hotjar, Mobile Friendly, DoubleClick, Twitter Advertising, Google Analytics, Baidu Ads, Google Maps, Bing Ads, Google Tag Manager, Google Maps (Paid Users), Facebook Custom Audiences, Vimeo, Open AdStream (Appnexus), Criteo, Google Maps (Non Paid Users), Salesforce Live Agent, Facebook Widget, DoubleClick Floodlight, Cedexis Radar, Adobe Media Optimizer, Stripe, Google Dynamic Remarketing, Google Play, YouTube, Selligent, Trustpilot, Bootstrap Framework, DoubleClick Conversion, TripleLift, Rubicon Project, AppNexus, Google AdSense, Disqus, 33Across, RTB House, Ad Unit 728 x 90, Ad Unit 300 x 250, OpenX - Exchange, Adform, AI, Remote","","","","",1966000000,"",66c44b99edd4780001d5c835,"2300, 5990","Bij HEMA werken we elke dag samen aan een betere alledaags leven in een mooiere wereld. We richten ons op spullen die langer meegaan met een betere kwaliteit. Dat is onze passie sinds 1926. We zijn van mening dat goede kwaliteit en mooi design beschikbaar moeten zijn voor iedereen, voor een goede prijs. Daarom verkopen we alleen 100% zelfontworpen producten. Het Nederlands design, noemen we dat. Zo garanderen we onze klanten dat ze altijd waar krijgen voor hun geld. Met verrassende producten van het eigen HEMA merk in  bijna 750 filialen in Nederland, België, Luxemburg, Frankrijk, Duitsland en Oostenrijk. Met filialen op treinstations, vliegvelden en met ons grootste HEMA filiaal dat 24 uur, zeven dagen per week open is: onze webwinkel. Met eigen distributiecentra, handelskantoren in het Verre Oosten en het HEMA kantoor in Amsterdam. Met meer dan 17.000 HEMA collega's in 200 verschillende functies. De optimistische boodschap van HEMA slaat overal aan. De essentie is in al die jaren niet gewijzigd: Echt HEMA.

HEMA is nuchter met een glimlach: doe maar gewoon, maar doe het wel bijzonder goed. De kracht van HEMA zit in de liefde voor elk detail, daarom is iedereen in onze organisatie belangrijk. Wij stellen het belang en plezier van onze klanten altijd voorop. HEMA geeft iedereen de ruimte om zijn talenten te ontwikkelen. We vinden het belangrijk dat iedereen werkt in een open en ongedwongen sfeer. Die inspirerende sfeer die je nergens anders tegenkomt. Echt HEMA.

corporate.hema.com",1926,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672e7dde83fea200017d6118/picture
ING Netherlands,ING Netherlands,Cold,"",67000,banking,info@data2bots.com,http://www.ing.com,http://www.linkedin.com/company/ing,https://facebook.com/ING,https://twitter.com/ing_news,"","","","","","","banking, personal banking, wholesale banking, fintech, retail banking, online banking, private banking, mobile banking, mobile payments, innovation, agile, blockchain, sustainability",'+31 20 576 6369,"","Akamai, Akamai DNS, Outlook, VueJS, Google Tag Manager, Apache, Vimeo, Adobe Media Optimizer, Stripe, Google Play, Cedexis Radar, Disqus, Mobile Friendly, LiveRamp, Twitter Advertising, Google Analytics, Bootstrap Framework, Shutterstock, Blueconic, Google Font API, WordPress.org, YouTube, AI","",Other,"",1997-06-01,24300000000,"",66f17b2dc775dd00011322e0,"6199, 6411, 6199","ING is a pioneer in digital banking and on the forefront as one of the most innovative banks in the world. As ING, we have a clear purpose that represents our conviction of people's potential. We don't judge, coach, or tell people how to live their lives. However big or small, modest or grand, we empower people and businesses to realise their vision for a better future. We made the promise to make banking frictionless, removing barriers to progress, and make people confident in their financial decisions. As a global bank we have a huge opportunity – and responsibility – to make an impact for the better. We can play a role by financing change, sharing knowledge, and innovating. Being sustainable is in all the choices we make—as a lender, as a partner and through the services we offer our customers",1991,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/673ac8761d26f5000126584c/picture
Wipro Limited,Wipro Limited,Cold,"",246000,information technology & services,info@data2bots.com,http://www.wipro.com,http://www.linkedin.com/company/wipro,https://www.facebook.com/WiproLimited/,https://twitter.com/Wipro,"","","","","","","consulting, business process outsourcing, business application services, infrastructure management, cloud services, analytics & information management, product & engineering services, mobility, datacentre managed services, software application management",'+91 80468 27999,"Digital transformation services enhance business agility. Leverage Wipro's IT consulting, FullStride Cloud, Engineering Edge, and AI capabilities for growth","Salesforce, Route 53, Outlook, Marketo, Pardot, Amazon AWS, Adobe Marketing Cloud, iCIMS, OneTrust, Adobe CQ, Cedexis Radar, AngularJS, Adobe Media Optimizer, Squarespace ECommerce, Wistia, Linkedin Marketing Solutions, Google Font API, DoubleClick Conversion, Apache, Videology, Bootstrap Framework, WordPress.org, New Relic, Multilingual, Twitter Advertising, Amcharts JS Library, Facebook Custom Audiences, Facebook Widget, Facebook Login (Connect), AppDynamics, Mobile Friendly, Hotjar, ShareThis, Google Dynamic Remarketing, Typekit, DoubleClick, JW Player, Google Tag Manager, YouTube, Drupal, Google Analytics, LiveRamp, React, Vimeo, Disqus",131000000,Other,131000000,2000-10-01,10621987000,"",66f17b2dc775dd00011323fc,7371,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients' most complex digital transformation needs. Leveraging our holistic portfolio of capabilities in consulting, design, engineering, and operations, we help clients realize their boldest ambitions and build future-ready, sustainable businesses. With nearly 245,000 employees and business partners across 65 countries, we deliver on the promise of helping our clients, colleagues, and communities thrive in an ever-changing world.
Wipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law.",1945,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6731e79f5c81510001ea6fc3/picture
Talpa Network,Talpa Network,Cold,"",700,media production,info@data2bots.com,"",http://www.linkedin.com/company/talpanetwork,"","",70 Bergweg,Hilversum,Noord-Holland,Netherlands,1217 SC,"70 Bergweg, Hilversum, Noord-Holland, Netherlands, 1217 SC","television, e commerce, radio, events, social, digital, broadcasting, marketing, branded content, entertainment, technology, tv, it, advertising, influencer marketing",'+31 35 625 2727,"Wij zijn Talpa Network: een netwerk van mensen, makers én merken.","Route 53, CloudFlare Hosting, YouTube, Linkedin Marketing Solutions, Google Font API, Mobile Friendly, Shutterstock, Tealium, Google Tag Manager","","","","","","",67443ef8d8b9af02ce03dab4,"","We are Talpa Network: we're a network of people, makers & brands.
 
Together we are more than our stories, our channels, our formats and our celebrities. And we're more than the sum of our ‘media reach'. We are connected through our passion for good content, whether it be audio, video, text or any combination thereof. 
 
We're a network where we share ideas, trust and energy with one another, so that we can multiply them together. Together we can develop better ideas and create more impact. Together we create stories that can ‘travel' through out network. From television to radio, from print to social. This is how we make stories & brands bigger and bring the Network Effect to life.
 
Curious about how we build our network? And what our network can do for you. Follow us here and on Instagram (@talpa_network).",2017,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6743c9e885bc3400017b7e97/picture
